attribute_code	value_code	label_ru	description_ru	is_head	priority	aliases_seeded
ecosystem	SAMSUNG_DEX	Samsung Dex	Head value for ecosystem: SAMSUNG_DEX	true	274	true
ecosystem	MATTER	Matter	Head value for ecosystem: MATTER	true	275	true
ecosystem	AMAZON_ALEXA	Amazon Alexa	Head value for ecosystem: AMAZON_ALEXA	true	276	true
ecosystem	MICROSOFT_XBOX	Microsoft Xbox	Head value for ecosystem: MICROSOFT_XBOX	true	277	true
ecosystem	SONY_PLAYSTATION	Sony Playstation	Head value for ecosystem: SONY_PLAYSTATION	true	278	true
ecosystem	DJI_ECOSYSTEM	Dji Ecosystem	Head value for ecosystem: DJI_ECOSYSTEM	true	279	true
ecosystem	GOPRO_ECOSYSTEM	Gopro Ecosystem	Head value for ecosystem: GOPRO_ECOSYSTEM	true	280	true
ecosystem	GARMIN_ECOSYSTEM	Garmin Ecosystem	Head value for ecosystem: GARMIN_ECOSYSTEM	true	281	true
certification	APPLE_MFI	Apple Mfi	Head value for certification: APPLE_MFI	true	282	true
certification	USB_IF	Usb If	Head value for certification: USB_IF	true	283	true
certification	QI_CERTIFIED	Qi Certified	Head value for certification: QI_CERTIFIED	true	284	true
certification	QI2_CERTIFIED	Qi2 Certified	Head value for certification: QI2_CERTIFIED	true	285	true
certification	HDMI_CERTIFIED	Hdmi Certified	Head value for certification: HDMI_CERTIFIED	true	286	true
certification	VESA_CERTIFIED	Vesa Certified	Head value for certification: VESA_CERTIFIED	true	287	true
certification	BLUETOOTH_CERTIFIED	Bluetooth Certified	Head value for certification: BLUETOOTH_CERTIFIED	true	288	true
certification	WIFI_CERTIFIED	Wifi Certified	Head value for certification: WIFI_CERTIFIED	true	289	true
certification	MATTER_CERTIFIED	Matter Certified	Head value for certification: MATTER_CERTIFIED	true	290	true
certification	THREAD_CERTIFIED	Thread Certified	Head value for certification: THREAD_CERTIFIED	true	291	true
certification	DOLBY_ATMOS	Dolby Atmos	Head value for certification: DOLBY_ATMOS	true	292	true
certification	DTS_X	Dts X	Head value for certification: DTS_X	true	293	true
compatibility_warning_flags	REQUIRES_ADAPTER	Requires Adapter	Head value for compatibility_warning_flags: REQUIRES_ADAPTER	true	294	true
compatibility_warning_flags	REGION_LOCKED	Region Locked	Head value for compatibility_warning_flags: REGION_LOCKED	true	295	true
compatibility_warning_flags	NOT_FOR_PRO_MAX	Not For Pro Max	Head value for compatibility_warning_flags: NOT_FOR_PRO_MAX	true	296	true
compatibility_warning_flags	NOT_FOR_PLUS	Not For Plus	Head value for compatibility_warning_flags: NOT_FOR_PLUS	true	297	true
compatibility_warning_flags	NOT_FOR_ULTRA	Not For Ultra	Head value for compatibility_warning_flags: NOT_FOR_ULTRA	true	298	true
compatibility_warning_flags	NOT_FOR_CURVED_SCREEN	Not For Curved Screen	Head value for compatibility_warning_flags: NOT_FOR_CURVED_SCREEN	true	299	true
compatibility_warning_flags	MAGSAFE_NOT_SUPPORTED	Magsafe Not Supported	Head value for compatibility_warning_flags: MAGSAFE_NOT_SUPPORTED	true	300	true
compatibility_warning_flags	FAST_CHARGE_NOT_GUARANTEED	Fast Charge Not Guaranteed	Head value for compatibility_warning_flags: FAST_CHARGE_NOT_GUARANTEED	true	301	true
compatibility_warning_flags	DRIVER_REQUIRED	Driver Required	Head value for compatibility_warning_flags: DRIVER_REQUIRED	true	302	true
compatibility_warning_flags	FIRMWARE_REQUIRED	Firmware Required	Head value for compatibility_warning_flags: FIRMWARE_REQUIRED	true	303	true
compatibility_warning_flags	OEM_ONLY_RECOMMENDED	Oem Only Recommended	Head value for compatibility_warning_flags: OEM_ONLY_RECOMMENDED	true	304	true
compatibility_warning_flags	FAKE_UNIVERSAL_CLAIM	Fake Universal Claim	Head value for compatibility_warning_flags: FAKE_UNIVERSAL_CLAIM	true	305	true
compatibility_warning_flags	PHYSICAL_FIT_UNVERIFIED	Physical Fit Unverified	Head value for compatibility_warning_flags: PHYSICAL_FIT_UNVERIFIED	true	306	true
runtime_candidate_policy	HEAD_ONLY	Head Only	Head value for runtime_candidate_policy: HEAD_ONLY	true	307	true
runtime_candidate_policy	HEAD_PLUS_REVIEW	Head Plus Review	Head value for runtime_candidate_policy: HEAD_PLUS_REVIEW	true	308	true
runtime_candidate_policy	RUNTIME_CANDIDATES_ALLOWED	Runtime Candidates Allowed	Head value for runtime_candidate_policy: RUNTIME_CANDIDATES_ALLOWED	true	309	true
runtime_candidate_policy	USER_CONFIRMATION_REQUIRED	User Confirmation Required	Head value for runtime_candidate_policy: USER_CONFIRMATION_REQUIRED	true	310	true
runtime_candidate_policy	BLOCK_UNKNOWN	Block Unknown	Head value for runtime_candidate_policy: BLOCK_UNKNOWN	true	311	true
fitment_precision	EXACT_FIT	Exact Fit	Head value for fitment_precision: EXACT_FIT	true	312	true
fitment_precision	CLOSE_FIT	Close Fit	Head value for fitment_precision: CLOSE_FIT	true	313	true
fitment_precision	GENERIC_FIT	Generic Fit	Head value for fitment_precision: GENERIC_FIT	true	314	true
fitment_precision	SPEC_FIT_ONLY	Spec Fit Only	Head value for fitment_precision: SPEC_FIT_ONLY	true	315	true
fitment_precision	UNKNOWN_FIT	Unknown Fit	Head value for fitment_precision: UNKNOWN_FIT	true	316	true
compatibility_evidence_source	TITLE	Title	Head value for compatibility_evidence_source: TITLE	true	317	true
compatibility_evidence_source	DESCRIPTION	Description	Head value for compatibility_evidence_source: DESCRIPTION	true	318	true
compatibility_evidence_source	OCR	Ocr	Head value for compatibility_evidence_source: OCR	true	319	true
compatibility_evidence_source	CATALOG	Catalog	Head value for compatibility_evidence_source: CATALOG	true	320	true
compatibility_evidence_source	SELLER	Seller	Head value for compatibility_evidence_source: SELLER	true	321	true
compatibility_evidence_source	USER	User	Head value for compatibility_evidence_source: USER	true	322	true
compatibility_evidence_source	OFFICIAL_DOC	Official Doc	Head value for compatibility_evidence_source: OFFICIAL_DOC	true	323	true
compatibility_evidence_source	MARKETPLACE	Marketplace	Head value for compatibility_evidence_source: MARKETPLACE	true	324	true
compatibility_evidence_source	INTERNAL_RULE	Internal Rule	Head value for compatibility_evidence_source: INTERNAL_RULE	true	325	true
review_status	NOT_REVIEWED	Not Reviewed	Head value for review_status: NOT_REVIEWED	true	326	true
review_status	AUTO_APPROVED	Auto Approved	Head value for review_status: AUTO_APPROVED	true	327	true
review_status	MANUAL_APPROVED	Manual Approved	Head value for review_status: MANUAL_APPROVED	true	328	true
review_status	MANUAL_REJECTED	Manual Rejected	Head value for review_status: MANUAL_REJECTED	true	329	true
review_status	NEEDS_REVIEW	Needs Review	Head value for review_status: NEEDS_REVIEW	true	330	true
review_status	EXPIRED	Expired	Head value for review_status: EXPIRED	true	331	true
